market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
102,159518,0,202608211026,1265000,1265000,1264000,1265000,53140000,67212930000,0,1.265,1.265,1.264,1.265,531400,672129.3
102,159518,0,202608211027,1265000,1265000,1264000,1264000,141680000,179102320000,0,1.265,1.265,1.264,1.264,1416800,1791023.2
102,159518,0,202608211028,1265000,1265000,1264000,1265000,26110000,33011080000,0,1.265,1.265,1.264,1.265,261100,330110.8
102,159518,0,202608211029,1265000,1265000,1264000,1265000,4820000,6093660000,0,1.265,1.265,1.264,1.265,48200,60936.6
102,159518,0,202608211030,1265000,1265000,1264000,1265000,20850000,26366370000,0,1.265,1.265,1.264,1.265,208500,263663.7
102,159518,0,202608211031,1265000,1265000,1264000,1264000,16560000,20945160000,0,1.265,1.265,1.264,1.264,165600,209451.6
102,159518,0,202608211032,1265000,1265000,1264000,1265000,34890000,44110870000,0,1.265,1.265,1.264,1.265,348900,441108.7
102,159518,0,202608211033,1264000,1265000,1264000,1264000,40760000,51523350000,0,1.264,1.265,1.264,1.264,407600,515233.5
102,159518,0,202608211034,1264000,1265000,1264000,1265000,22540000,28506470000,0,1.264,1.265,1.264,1.265,225400,285064.7
102,159518,0,202608211035,1265000,1265000,1264000,1264000,28760000,36363410000,0,1.265,1.265,1.264,1.264,287600,363634.1
102,159518,0,202608211036,1264000,1264000,1264000,1264000,10130000,12804320000,0,1.264,1.264,1.264,1.264,101300,128043.2
102,159518,0,202608211037,1264000,1265000,1264000,1265000,5210000,6590490000,0,1.264,1.265,1.264,1.265,52100,65904.9
102,159518,0,202608211038,1265000,1266000,1264000,1266000,427190000,540414930000,0,1.265,1.266,1.264,1.266,4271900,5404149.3
102,159518,0,202608211039,1266000,1266000,1265000,1266000,249700000,316118650000,0,1.266,1.266,1.265,1.266,2497000,3161186.5
102,159518,0,202608211040,1265000,1266000,1265000,1266000,114860000,145412460000,0,1.265,1.266,1.265,1.266,1148600,1454124.6
102,159518,0,202608211041,1266000,1266000,1265000,1266000,21710000,27477000000,0,1.266,1.266,1.265,1.266,217100,274770
102,159518,0,202608211042,1266000,1266000,1265000,1265000,27840000,35219090000,0,1.266,1.266,1.265,1.265,278400,352190.9
102,159518,0,202608211043,1266000,1266000,1265000,1266000,59770000,75668220000,0,1.266,1.266,1.265,1.266,597700,756682.2
102,159518,0,202608211044,1265000,1266000,1265000,1265000,32330000,40925580000,0,1.265,1.266,1.265,1.265,323300,409255.8
102,159518,0,202608211045,1265000,1266000,1265000,1265000,21790000,27567570000,0,1.265,1.266,1.265,1.265,217900,275675.7
102,159518,0,202608211046,1266000,1266000,1265000,1266000,8310000,10520310000,0,1.266,1.266,1.265,1.266,83100,105203.1
102,159518,0,202608211047,1266000,1266000,1265000,1265000,24170000,30596650000,0,1.266,1.266,1.265,1.265,241700,305966.5
102,159518,0,202608211048,1265000,1266000,1265000,1266000,7380000,9338680000,0,1.265,1.266,1.265,1.266,73800,93386.8
102,159518,0,202608211049,1266000,1266000,1266000,1266000,2170000,2747190000,0,1.266,1.266,1.266,1.266,21700,27471.9
102,159518,0,202608211050,1265000,1266000,1265000,1265000,9540000,12073800000,0,1.265,1.266,1.265,1.265,95400,120738
102,159518,0,202608211051,1265000,1266000,1265000,1266000,512440000,648748620000,0,1.265,1.266,1.265,1.266,5124400,6487486.2
102,159518,0,202608211052,1266000,1266000,1264000,1264000,577570000,730620480000,0,1.266,1.266,1.264,1.264,5775700,7306204.8
102,159518,0,202608211053,1264000,1265000,1264000,1265000,6350000,8026410000,0,1.264,1.265,1.264,1.265,63500,80264.1
102,159518,0,202608211054,1265000,1265000,1264000,1264000,8220000,10391660000,0,1.265,1.265,1.264,1.264,82200,103916.6
102,159518,0,202608211055,1264000,1264000,1264000,1264000,31480000,39791020000,0,1.264,1.264,1.264,1.264,314800,397910.2
102,159518,0,202608211056,1264000,1265000,1264000,1264000,16710000,21122330000,0,1.264,1.265,1.264,1.264,167100,211223.3
102,159518,0,202608211057,1264000,1265000,1264000,1265000,270070000,341636260000,0,1.264,1.265,1.264,1.265,2700700,3416362.6
102,159518,0,202608211058,1265000,1266000,1265000,1266000,21500000,27204670000,0,1.265,1.266,1.265,1.266,215000,272046.7
102,159518,0,202608211059,1266000,1266000,1266000,1266000,398870000,504969400000,0,1.266,1.266,1.266,1.266,3988700,5049694
102,159518,0,202608211100,1266000,1266000,1265000,1266000,60410000,76468460000,0,1.266,1.266,1.265,1.266,604100,764684.6
102,159518,0,202608211101,1266000,1266000,1265000,1266000,21120000,26730400000,0,1.266,1.266,1.265,1.266,211200,267304
102,159518,0,202608211102,1266000,1266000,1265000,1266000,33910000,42900860000,0,1.266,1.266,1.265,1.266,339100,429008.6
102,159518,0,202608211103,1265000,1265000,1265000,1265000,25540000,32308120000,0,1.265,1.265,1.265,1.265,255400,323081.2
102,159518,0,202608211104,1265000,1266000,1265000,1266000,9870000,12485810000,0,1.265,1.266,1.265,1.266,98700,124858.1
102,159518,0,202608211105,1265000,1266000,1265000,1265000,8420000,10651800000,0,1.265,1.266,1.265,1.265,84200,106518
102,159518,0,202608211106,1265000,1266000,1265000,1266000,12590000,15926600000,0,1.265,1.266,1.265,1.266,125900,159266
102,159518,0,202608211107,1266000,1267000,1265000,1267000,127350000,161217050000,0,1.266,1.267,1.265,1.267,1273500,1612170.5
102,159518,0,202608211108,1267000,1267000,1266000,1266000,10390000,13156630000,0,1.267,1.267,1.266,1.266,103900,131566.3
102,159518,0,202608211109,1266000,1267000,1266000,1266000,21440000,27158440000,0,1.266,1.267,1.266,1.266,214400,271584.4
102,159518,0,202608211110,1266000,1267000,1266000,1267000,29670000,37579610000,0,1.266,1.267,1.266,1.267,296700,375796.1
102,159518,0,202608211111,1267000,1267000,1266000,1267000,127490000,161525150000,0,1.267,1.267,1.266,1.267,1274900,1615251.5
102,159518,0,202608211112,1267000,1267000,1266000,1266000,35070000,44406830000,0,1.267,1.267,1.266,1.266,350700,444068.3
102,159518,0,202608211113,1266000,1267000,1266000,1267000,18470000,23394880000,0,1.266,1.267,1.266,1.267,184700,233948.8
102,159518,0,202608211114,1267000,1267000,1266000,1267000,11460000,14518300000,0,1.267,1.267,1.266,1.267,114600,145183
102,159518,0,202608211115,1267000,1267000,1266000,1267000,131590000,166628440000,0,1.267,1.267,1.266,1.267,1315900,1666284.4
102,159518,0,202608211116,1267000,1267000,1266000,1267000,22290000,28226510000,0,1.267,1.267,1.266,1.267,222900,282265.1
