market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
101,513350,0,202608210950,1348000,1349000,1347000,1347000,608930000,820654290000,0,1.348,1.349,1.347,1.347,6089300,8206542.9
101,513350,0,202608210951,1347000,1347000,1345000,1346000,468320000,630169380000,0,1.347,1.347,1.345,1.346,4683200,6301693.8
101,513350,0,202608210952,1346000,1346000,1344000,1344000,424470000,571027380000,0,1.346,1.346,1.344,1.344,4244700,5710273.8
101,513350,0,202608210953,1344000,1346000,1344000,1345000,593200000,797810090000,0,1.344,1.346,1.344,1.345,5932000,7978100.9
101,513350,0,202608210954,1346000,1347000,1345000,1347000,268450000,361358900000,0,1.346,1.347,1.345,1.347,2684500,3613589
101,513350,0,202608210955,1347000,1348000,1346000,1348000,316360000,426161970000,0,1.347,1.348,1.346,1.348,3163600,4261619.7
101,513350,0,202608210956,1348000,1348000,1347000,1348000,524130000,706516910000,0,1.348,1.348,1.347,1.348,5241300,7065169.1
101,513350,0,202608210957,1348000,1348000,1347000,1347000,92650000,124850400000,0,1.348,1.348,1.347,1.347,926500,1248504
101,513350,0,202608210958,1347000,1348000,1347000,1347000,56380000,75965650000,0,1.347,1.348,1.347,1.347,563800,759656.5
101,513350,0,202608210959,1347000,1347000,1346000,1347000,397950000,535970870000,0,1.347,1.347,1.346,1.347,3979500,5359708.7
101,513350,0,202608211000,1347000,1349000,1347000,1349000,605080000,815893870000,0,1.347,1.349,1.347,1.349,6050800,8158938.7
101,513350,0,202608211001,1349000,1351000,1349000,1350000,769640000,1038979330000,0,1.349,1.351,1.349,1.35,7696400,10389793.3
101,513350,0,202608211002,1350000,1351000,1350000,1350000,825560000,1114938140000,0,1.35,1.351,1.35,1.35,8255600,11149381.4
101,513350,0,202608211003,1350000,1350000,1348000,1348000,389640000,525436750000,0,1.35,1.35,1.348,1.348,3896400,5254367.5
101,513350,0,202608211004,1348000,1349000,1348000,1348000,195860000,264049230000,0,1.348,1.349,1.348,1.348,1958600,2640492.3
101,513350,0,202608211005,1348000,1348000,1346000,1346000,328020000,441917470000,0,1.348,1.348,1.346,1.346,3280200,4419174.7
101,513350,0,202608211006,1346000,1347000,1346000,1346000,240420000,323640030000,0,1.346,1.347,1.346,1.346,2404200,3236400.3
101,513350,0,202608211007,1347000,1347000,1345000,1345000,592170000,797058920000,0,1.347,1.347,1.345,1.345,5921700,7970589.2
101,513350,0,202608211008,1345000,1345000,1344000,1344000,917140000,1233181200000,0,1.345,1.345,1.344,1.344,9171400,12331812
101,513350,0,202608211009,1344000,1346000,1344000,1344000,566340000,761446980000,0,1.344,1.346,1.344,1.344,5663400,7614469.8
101,513350,0,202608211010,1344000,1345000,1344000,1345000,715990000,962737920000,0,1.344,1.345,1.344,1.345,7159900,9627379.2
101,513350,0,202608211011,1345000,1345000,1343000,1344000,822150000,1104782930000,0,1.345,1.345,1.343,1.344,8221500,11047829.3
101,513350,0,202608211012,1344000,1344000,1343000,1343000,159320000,214061180000,0,1.344,1.344,1.343,1.343,1593200,2140611.8
101,513350,0,202608211013,1344000,1344000,1343000,1344000,67070000,90121250000,0,1.344,1.344,1.343,1.344,670700,901212.5
101,513350,0,202608211014,1343000,1344000,1343000,1344000,435100000,584753800000,0,1.343,1.344,1.343,1.344,4351000,5847538
101,513350,0,202608211015,1343000,1343000,1341000,1341000,1041470000,1397679290000,0,1.343,1.343,1.341,1.341,10414700,13976792.9
101,513350,0,202608211016,1341000,1343000,1341000,1343000,311370000,417819570000,0,1.341,1.343,1.341,1.343,3113700,4178195.7
101,513350,0,202608211017,1343000,1343000,1342000,1343000,82970000,111404890000,0,1.343,1.343,1.342,1.343,829700,1114048.9
