fund_code,fund_market,date,time,estimated_nav,stock_value_cny,fixed_cash_cny,estimated_cash_cny,creation_unit,published_nav,minute_component_count,minute_source_ref,minute_quote_source
159217,SZ,2026-09-08,0930,1.1984893543349,1198895.5943349000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1446,0.7760995087109,775987.19871090,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1447,0.7763038181118,776191.50811180,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1448,0.776339846513,776227.53651300,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1449,0.776493697991,776381.38799100,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1450,0.7765043482493,776392.03824930,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1451,0.7763785342357,776266.22423570,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1452,0.7764881890876,776375.87908760,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1453,0.7763564251124,776244.11511240,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1454,0.7764271154992,776314.80549920,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1455,0.7763458051228,776233.49512280,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1456,0.7764742222446,776361.91224460,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1457,0.7763291789583,776216.86895830,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1458,0.7761426372843,776030.32728430,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1459,0.7761448209548,776032.51095480,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1500,0.7761743156409,776062.00564090,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1501,0.7760409517487,775928.64174870,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1502,0.7761886240878,776076.31408780,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1503,0.7761362073476,776023.89734760,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1504,0.7755094679695,775397.15796950,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1505,0.7756558517268,775543.54172680,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1506,0.775612662616,775500.35261600,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1507,0.7762343471212,776122.03712120,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1508,0.7763001642473,776187.85424730,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1509,0.7763138197551,776201.50975510,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1510,0.7760680681798,775955.75817980,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1511,0.776174492929,776062.18292900,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1512,0.7760868045051,775974.49450510,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1513,0.7759879036899,775875.59368990,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1514,0.7758136381358,775701.32813580,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1515,0.7757059637217,775593.65372170,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1516,0.7757033000761,775590.99007610,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1517,0.7755926074402,775480.29744020,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1518,0.7757769827401,775664.67274010,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1519,0.7758766662174,775764.35621740,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1520,0.7759771583014,775864.84830140,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1521,0.7760193485451,775907.03854510,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1522,0.7759481306181,775835.82061810,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1523,0.7759215157826,775809.20578260,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1524,0.7759447664683,775832.45646830,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1525,0.776149975282,776037.66528200,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
