horizon,scenario,model,days,samples,target_std_bps,residual_std_bps,variance_reduction,residual_mean_bps,upside_es95_bps,downside_es95_bps,abs_p95_bps,first_oos,last_oos
30,fresh_endpoint_2%_evaluation_subset,selected,36,830,33.77958842406566,19.484653103527034,0.6672817302358295,2.5290460930732546,45.637344485928615,31.41923676840832,37.73291979578803,,
30,fresh_endpoint_2%_evaluation_subset,HHI_HTI_fixed_pair,36,830,33.77958842406566,19.69643012628401,0.6600098524777928,2.797151796666276,46.6282447786903,32.63409624002369,40.5348570105317,,
30,fresh_endpoint_2%_evaluation_subset,HTI_FUT,36,830,33.77958842406566,20.441861702870387,0.6337883263691735,3.6217797215837066,48.48770128584038,33.87239950564708,41.82828245909313,,
30,fresh_endpoint_5%_evaluation_subset,selected,37,1568,35.79473142406298,19.431026381585013,0.705318232205375,1.3768629688063656,43.064556619590135,35.514436259792326,37.73842403758017,,
30,fresh_endpoint_5%_evaluation_subset,HHI_HTI_fixed_pair,37,1568,35.79473142406298,19.50738115124046,0.7029977612268938,1.2768607950962447,44.07478193284203,36.50457295955528,39.86569415240397,,
30,fresh_endpoint_5%_evaluation_subset,HTI_FUT,37,1568,35.79473142406298,20.13616801547432,0.6835424683611508,1.7534635084335435,45.51340422632689,37.19701017059583,39.914287068224304,,
30,hedge_timestamp_shift_-1m_frozen_weights,selected,37,3293,36.99167443721808,21.19296379506095,0.6717721620916524,0.7361587371597097,45.84951483609888,43.47989958948822,42.460396908778236,,
30,hedge_timestamp_shift_-1m_frozen_weights,HHI_HTI_fixed_pair,37,3293,36.99167443721808,21.032102293487476,0.6767359643912183,0.6407246015594448,45.91138243394069,42.924216239629786,43.09660465383736,,
30,hedge_timestamp_shift_+1m_frozen_weights,selected,37,3293,36.89160978763548,19.98805641233099,0.7064474074369547,0.9511453879990851,42.39859833048719,40.01447174913517,39.23995124006422,,
30,hedge_timestamp_shift_+1m_frozen_weights,HHI_HTI_fixed_pair,37,3293,36.89160978763548,18.90953473794741,0.7372719309350042,0.8691228587964888,41.008129913316196,37.50612864859105,38.361901641316976,,
