horizon,test_date,fit_start,inner_fit_end,validation_start,train_end,train_rows,test_rows,selection_score,alpha,legs,HSI_FUT,HHI_FUT,HTI_FUT,02800,02828,03032,03033,02845,fixed_pair_HHI_beta,fixed_pair_HTI_beta
15,20260622,20260317,20260604,20260605,20260618,6300,105,0.002161025429531548,0.01,HHI_FUT+03032,0.0,0.5291314871418233,0.0,0.0,0.0,0.38070283286543694,0.0,0.0,0.45489265974547755,0.42194888739421627
15,20260623,20260318,20260605,20260608,20260622,6300,105,0.001992419133442204,0.0,HSI_FUT+03032,0.5607805350227641,0.0,0.0,0.0,0.0,0.39807795657424094,0.0,0.0,0.4669339702088261,0.4138810488542851
15,20260624,20260319,20260608,20260609,20260623,6300,105,0.002070274345670039,0.0,HSI_FUT+03032,0.5480715547349928,0.0,0.0,0.0,0.0,0.4077581479935894,0.0,0.0,0.4485259367218269,0.4286138957294713
15,20260625,20260320,20260609,20260610,20260624,6300,105,0.002054235691737501,0.0,HHI_FUT+03032,0.0,0.545320140704233,0.0,0.0,0.0,0.3630646913448007,0.0,0.0,0.45668392300330907,0.41052529317148756
15,20260626,20260323,20260610,20260611,20260625,6300,105,0.0019759591545230335,0.0,HHI_FUT+03032,0.0,0.5523933024602558,0.0,0.0,0.0,0.3561925539344223,0.0,0.0,0.4742915875377463,0.39647943343860376
15,20260629,20260324,20260611,20260612,20260626,6300,105,0.0018534860462386493,0.0,HHI_FUT+03033,0.0,0.5897325848616818,0.0,0.0,0.0,0.0,0.3313520741915977,0.0,0.4772173040526523,0.38371894029822845
15,20260630,20260325,20260612,20260615,20260629,6300,105,0.0018923193528100615,0.0,HHI_FUT+03033,0.0,0.5844882631735346,0.0,0.0,0.0,0.0,0.32090341010028156,0.0,0.48781206660497456,0.36234655927834813
15,20260702,20260326,20260615,20260616,20260630,6300,105,0.0020262378356799412,0.0,HHI_FUT+03032,0.0,0.5543041780662595,0.0,0.0,0.0,0.37100188983154886,0.0,0.0,0.48823340323418607,0.4019511656809382
15,20260703,20260327,20260616,20260617,20260702,6300,105,0.002154667040855259,0.0,HHI_FUT+03033,0.0,0.5692950896928596,0.0,0.0,0.0,0.0,0.381067313967544,0.0,0.47274040339854756,0.4140313086713807
15,20260706,20260330,20260617,20260618,20260703,6300,105,0.0023266733870903025,0.01,HHI_FUT+02845,0.0,0.9389329749888873,0.0,0.0,0.0,0.0,0.0,0.1371493552383725,0.48779886023874164,0.3996047253667975
15,20260707,20260331,20260618,20260622,20260706,6300,105,0.00227472693059914,0.01,HHI_FUT+03033,0.0,0.5388729163498593,0.0,0.0,0.0,0.0,0.38556411947994884,0.0,0.4833324717172404,0.398271685774332
